,source_id,source_name,company_name,ultimate_parent_name,country,lat,lon,ultimate_parent_id,company_id,percent_interest_parent,percent_interest_company,percent_company_datasource,percent_parent_datasource,ultimate_parent_revenue_annual (mil),created_date
4972,3164662,Charger Mine East,Responsible Energy Ventures,Responsible Energy Ventures,USA,38.391667,-87.291667,100000132123,100000132123,100.0,100.0,{14274},{14274},16932,49:34.1
4973,3164664,Choctaw Mine Coal Mine,FM Coal,FM Coal,USA,33.706666,-87.278611,100001010292,100001010292,100.0,100.0,{14276},{14276},5,49:34.1
4974,3164665,Clinchco #1 Coal Mine,Mountain Fuels,Mountain Fuels,USA,37.15,-82.354444,100000131943,100000131943,100.0,100.0,{14277},{14277},3500,49:34.1
4975,16411,Coal Creek Coal Mine,Thunder Basin Coal Company,Arch Resources,USA,43.948918,-105.291763,100001000546,100001000549,100.0,100.0,{14278},"{5730,5732,14278}",290,49:34.0
4976,3164669,Coal Mountain No 1 Surface Mine,CM Energy Operations,CM Energy Operations,USA,37.640556,-81.675,100000131456,100000131456,100.0,100.0,{14279},{14279},55,49:34.1
4977,3164670,Cobra No.1 Coal Mine,Cobra Mining,Cobra Mining,USA,39.526111,-79.005,100000131507,100000131507,100.0,100.0,{14280},{14280},50,49:34.1
4978,3164671,Colowyo Coal Mine,Tri-State Generation and Transmission Association,Tri-State Generation and Transmission Association,USA,40.241141,-107.8307942,100000004244,100000004244,100.0,100.0,{14281},{14281},15286,49:34.1
4979,3164672,Condor Coal Mine,Noble Construction,Noble Construction,USA,40.589167,-79.346944,100000131985,100000131985,100.0,100.0,{14282},{14282},941,49:34.1
4980,3164673,Continental Strip Coal Mine,Keystone Anthracite,Keystone Anthracite,USA,40.7925,-76.3236,100000131794,100000131794,100.0,100.0,{14283},{14283},46047,49:34.1
4981,3164674,Coon Cedar Grove Mine,Alpha Metallurgical Resources,Alpha Metallurgical Resources,USA,37.930833,-81.5125,100000131246,100000131246,100.0,100.0,{14284},{14284},4139,49:34.1
