,country,year,gas,emissions_quantity tonnes
409,ASM,2016,n2o,0.0
410,ASM,2017,ch4,0.0
411,ASM,2017,co2,0.0
412,ASM,2017,co2e_100yr,0.0
413,ASM,2017,co2e_20yr,0.0
414,ASM,2017,n2o,0.0
415,ASM,2018,ch4,0.0
416,ASM,2018,co2,0.0
417,ASM,2018,co2e_100yr,0.0
418,ASM,2018,co2e_20yr,0.0
419,ASM,2018,n2o,0.0
420,ASM,2019,ch4,0.0
421,ASM,2019,co2,0.0
422,ASM,2019,co2e_100yr,0.0
423,ASM,2019,co2e_20yr,0.0
424,ASM,2019,n2o,0.0
425,ASM,2020,ch4,0.0
426,ASM,2020,co2,0.0
427,ASM,2020,co2e_100yr,0.0
428,ASM,2020,co2e_20yr,0.0
429,ASM,2020,n2o,0.0
430,ASM,2021,ch4,0.0
431,ASM,2021,co2,0.0
432,ASM,2021,co2e_100yr,0.0
433,ASM,2021,co2e_20yr,0.0
434,ASM,2021,n2o,0.0
435,ASM,2022,ch4,0.0
436,ASM,2022,co2,0.0
437,ASM,2022,co2e_100yr,0.0
438,ASM,2022,co2e_20yr,0.0
439,ASM,2022,n2o,0.0
440,ATA,2015,ch4,0.0
441,ATA,2015,co2,0.0
442,ATA,2015,co2e_100yr,0.0
443,ATA,2015,co2e_20yr,0.0
444,ATA,2015,n2o,0.0
445,ATA,2016,ch4,0.0
446,ATA,2016,co2,0.0
447,ATA,2016,co2e_100yr,0.0
448,ATA,2016,co2e_20yr,0.0
449,ATA,2016,n2o,0.0
450,ATA,2017,ch4,0.0
451,ATA,2017,co2,0.0
452,ATA,2017,co2e_100yr,0.0
453,ATA,2017,co2e_20yr,0.0
454,ATA,2017,n2o,0.0
455,ATA,2018,ch4,0.0
456,ATA,2018,co2,0.0
457,ATA,2018,co2e_100yr,0.0
458,ATA,2018,co2e_20yr,0.0
459,ATA,2018,n2o,0.0
460,ATA,2019,ch4,0.0
461,ATA,2019,co2,0.0
462,ATA,2019,co2e_100yr,0.0
463,ATA,2019,co2e_20yr,0.0
464,ATA,2019,n2o,0.0
465,ATA,2020,ch4,0.0
466,ATA,2020,co2,0.0
467,ATA,2020,co2e_100yr,0.0
468,ATA,2020,co2e_20yr,0.0
469,ATA,2020,n2o,0.0
470,ATA,2021,ch4,0.0
471,ATA,2021,co2,0.0
472,ATA,2021,co2e_100yr,0.0
473,ATA,2021,co2e_20yr,0.0
474,ATA,2021,n2o,0.0
475,ATA,2022,ch4,0.0
476,ATA,2022,co2,0.0
477,ATA,2022,co2e_100yr,0.0
478,ATA,2022,co2e_20yr,0.0
479,ATA,2022,n2o,0.0
480,ATF,2015,ch4,0.0
481,ATF,2015,co2,0.0
482,ATF,2015,co2e_100yr,0.0
483,ATF,2015,co2e_20yr,0.0
484,ATF,2015,n2o,0.0
485,ATF,2016,ch4,0.0
486,ATF,2016,co2,0.0
487,ATF,2016,co2e_100yr,0.0
488,ATF,2016,co2e_20yr,0.0
489,ATF,2016,n2o,0.0
490,ATF,2017,ch4,0.0
491,ATF,2017,co2,0.0
492,ATF,2017,co2e_100yr,0.0
493,ATF,2017,co2e_20yr,0.0
494,ATF,2017,n2o,0.0
495,ATF,2018,ch4,0.0
496,ATF,2018,co2,0.0
497,ATF,2018,co2e_100yr,0.0
498,ATF,2018,co2e_20yr,0.0
499,ATF,2018,n2o,0.0
500,ATF,2019,ch4,0.0
501,ATF,2019,co2,0.0
502,ATF,2019,co2e_100yr,0.0
503,ATF,2019,co2e_20yr,0.0
504,ATF,2019,n2o,0.0
505,ATF,2020,ch4,0.0
506,ATF,2020,co2,0.0
507,ATF,2020,co2e_100yr,0.0
508,ATF,2020,co2e_20yr,0.0
509,ATF,2020,n2o,0.0
510,ATF,2021,ch4,0.0
511,ATF,2021,co2,0.0
512,ATF,2021,co2e_100yr,0.0
513,ATF,2021,co2e_20yr,0.0
514,ATF,2021,n2o,0.0
515,ATF,2022,ch4,0.0
516,ATF,2022,co2,0.0
517,ATF,2022,co2e_100yr,0.0
518,ATF,2022,co2e_20yr,0.0
519,ATF,2022,n2o,0.0
520,ATG,2015,ch4,0.0
521,ATG,2015,co2,0.0
522,ATG,2015,co2e_100yr,0.0
523,ATG,2015,co2e_20yr,0.0
524,ATG,2015,n2o,0.0
525,ATG,2016,ch4,0.0
526,ATG,2016,co2,0.0
527,ATG,2016,co2e_100yr,0.0
